Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,Is_registered,Has_code
18854.0,Jirime Dispensary,Jirime Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,marsabit,Saku,Saku,Marsabit Central,Operational,False,False,False,False,True,True,False,False,True
18850.0,Kiroone Dispensary,Kiroone Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,South Imenti,Imenti South,Igoji West,Operational,False,False,False,False,True,True,False,False,True
18849.0,Ngongo Dispensary,Ngongo Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,South Imenti,Imenti South,Abogeta West,Operational,False,False,False,False,True,True,False,False,True
18848.0,Kiangua Dispensary,Kiangua Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,South Imenti,Imenti South,Igoji West,Operational,False,False,False,False,True,True,False,False,True
18847.0,Kathithine Dispensary,Kathithine Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,meru,South Imenti,Imenti South,Abogeta East,Operational,False,False,False,False,True,True,False,False,True
18846.0,Eliye Springs Community Dispensary,Eliye Springs Community Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,turkana,Turkana Central,Turkana Central,Kang'atotha,Operational,False,False,True,False,True,True,False,False,True
18835.0,AIC Biribiriet Dispensary,AIC Biribiriet Dispensary,,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,trans nzoia,Cherangany,Cherangany,Makutano,Operational,False,False,False,False,True,True,False,False,True
18831.0,Malabot Dispensary (North Horr),Malabot Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,marsabit,North Horr,North Horr,North Horr,Operational,False,False,False,False,True,True,False,False,True
18824.0,Mbaruk Dispensary,Mbaruk Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,nakuru,Gilgil,Gilgil,Mbaruk/Eburu,Operational,False,False,False,False,True,True,False,False,True
18821.0,Abakaile Dispensary,Abakaile Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,garissa,Daadab,Dadaab,Abakaile,Operational,False,False,False,False,True,True,False,False,True
18820.0,Shura Dispensary (Chalbi),Shura Dispensary (Chalbi),,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,marsabit,North Horr,North Horr,Turbi,Operational,False,False,False,False,True,True,False,False,True
18811.0,Kalima Dispensary,Kalima Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,2,2,makueni,Makueni,Makueni,Nzaui/Kilili/Kalamba,Operational,False,False,False,False,True,True,False,False,True
18809.0,Tutini Dispensary,Tutini Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,makueni,Kibwezi West,Kibwezi West,Emali/Mulala,Operational,False,False,False,False,True,True,False,False,True
18808.0,Ibrahim Ure Dispensary,Ibrahim Ure Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,wajir,Wajir South,Wajir South,Ibrahim Ure,Operational,False,False,False,False,True,True,False,False,True
18802.0,Kamashia,Kamashia Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,2,4,kakamega,Mumias East,Mumias East,Lusheya/Lubinu,Operational,False,False,False,False,True,True,False,False,True
18801.0,Hamey Dispensary,Hamey dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,garissa,Daadab,Dadaab,Damajale,Operational,False,False,False,False,True,True,False,False,True
18798.0,Nist Dispensary,NIST Dispensary,,Level 2,Dispensary,DISPENSARY,Public Institution - Parastatal,Ministry of Health,Ministry of Health,0,0,0,nyandarua,Oljorook,Oljoroorok,Gatimu,Operational,False,False,False,False,True,True,False,False,True
18795.0,Church Army Medical Clinic,Church Army Medical Clinic,,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,0,nairobi,Makadara,Makadara,Maringo/Hamza,Operational,False,False,True,False,True,True,False,False,True
18789.0,Chuka University Dispensary,Chuka University Dispensary,,Level 2,Dispensary,DISPENSARY,Public Institution - Academic,Ministry of Health,Kenya MPDB,0,0,0,tharaka nithi,Chuka/Igambang'ombe,Chuka,Karingani,Operational,False,False,True,False,True,True,False,False,True
18788.0,Muhamarani Dispensary,Muhamarani Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,lamu,Lamu West,Lamu West,Mkunumbi,Operational,False,False,False,False,True,True,False,False,True
18782.0,Chamuka (CDF) Dispensary,Chamuka Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,nyandarua,Oljorook,Oljoroorok,Weru,Operational,False,False,False,False,True,True,False,False,True
18779.0,Mugai Dispensary,Mugai Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,kakamega,Malava,Malava,Shirungu-mugai,Operational,False,False,False,False,True,True,False,False,True
18775.0,Kamarandi Dispensary,Kamarandi Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,tharaka nithi,Tharaka,Tharaka South,Chiakagira,Operational,False,False,False,False,True,True,False,False,True
18763.0,PCEA Kuwinda Health Clinic,PCEA Kuwinda Health Clinic,,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,0,nairobi,Langata,Langata,Karen,Operational,False,False,False,False,True,True,False,False,True
18760.0,Kamuthini Dispensary,Kamuthini Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,2,0,2,makueni,Kilome,Kilome,Mukaa,Operational,True,False,True,False,True,True,False,False,True
18752.0,Mitume Dispensary,Mitume Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,10,4,14,trans nzoia,Saboti,Saboti,Tuwani,Operational,False,False,False,False,True,True,False,False,True
18745.0,Comboni Missionary Sisters Health Programm,Comboni Missionary Sisters Health Program,,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,False,False,True,False,True,True,False,False,True
18743.0,Kariobangi EDARP,Kariobangi Edarp,,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,0,nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,False,False,True,False,True,True,False,False,True
