Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,year
fully-functional,Langata Health Centre (Mugumo-Ini),mugumo-ini,langata,langata,nairobi,Southlands A Community Health Unit,701924,2018
closed,Eastleigh Health Centre,airbase,kamukunji,kamukunji,nairobi,Airbase Community Health Unit,701923,2018
closed,Reuben Mukuru Health Centre,kwa reuben,embakasi south,embakasi south,nairobi,Riverside Reuben Community Health Unit,701922,2018
fully-functional,Lungalunga Health Centre,viwandani,makadara,makadara,nairobi,Sinai Best Community Health Unit,701921,2018
fully-functional,Riruta Health Centre,kawangware,dagoretti north,dagoretti north,nairobi,Gatina Community Health Unit,701920,2011
fully-functional,Riruta Health Centre,kawangware,dagoretti north,dagoretti north,nairobi,Checkpoint Community Health Unit,701919,2018
fully-functional,Kayole I Health Centre,kayole north,embakasi central,embakasi central,nairobi,Maana Ab Community Health Unit,701918,2017
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Bottomline Two Community Health Unit,701917,2018
fully-functional,Railway Training Institute Dispensary South B,nairobi south,starehe,starehe,nairobi,Hamaso 2 Community Health Unit,701916,2018
fully-functional,Railway Training Institute Dispensary South B,nairobi south,starehe,starehe,nairobi,Hamaso 1 Community Health Unity,701915,2018
fully-functional,Reuben Mukuru Health Centre,kwa reuben,embakasi south,embakasi south,nairobi,Transformer Community Health Unit,701914,2018
fully-functional,Lungalunga Health Centre,viwandani,makadara,makadara,nairobi,Sinai Relli Community Health Unit,701913,2018
closed,Kahawa West Health Centre,kahawa,roysambu,roysambu,nairobi,Sonic Community Health Unit,701912,2018
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Trench Community Health Unit,701911,2018
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Kihumbuini Community Health Unit,701910,2018
fully-functional,Lungalunga Health Centre,viwandani,makadara,makadara,nairobi,Sinai Original Community Health Unit,701909,2018
fully-functional,Mukuru Health Centre,imara daima,embakasi south,embakasi south,nairobi,Kwapi 1 Goshen Community Health Unit,701908,2018
fully-functional,Eastleigh Health Centre,airbase,kamukunji,kamukunji,nairobi,Afya Bora Community Health Unit,701907,2018
fully-functional,Lungalunga Health Centre,viwandani,makadara,makadara,nairobi,Mathioya Community Health Unit,701906,2018
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Dallas Community Health Unit,701905,2018
fully-functional,Mukuru Health Centre,imara daima,embakasi south,embakasi south,nairobi,Kwapi 1 Kware Community Health Unit,701904,2018
fully-functional,Dandora II Health Centre,dandora area i,embakasi north,embakasi north,nairobi,Maono Community Health Unit,701903,2018
fully-functional,Lungalunga Health Centre,viwandani,makadara,makadara,nairobi,Baptist Community Health Unit,701902,2018
fully-functional,Mukuru Mmm Clinic,kwa njenga,embakasi south,embakasi south,nairobi,Sisal Mmm Community Health Unit,701901,2018
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Makaburini Community Health Unit,701900,2018
fully-functional,Kasarani Health Centre,kasarani,kasarani,kasarani,nairobi,Maji Mazuri Community Health Unit,701899,2018
fully-functional,Mukuru Mmm Clinic,kwa njenga,embakasi south,embakasi south,nairobi,Sisal Matopeni Community Health Unit,701898,2018
fully-functional,Lungalunga Health Centre,viwandani,makadara,makadara,nairobi,Mutongwe Community Health Unit,701897,2018
fully-functional,Dandora II Health Centre,dandora area i,embakasi north,embakasi north,nairobi,Ujuzi Community Health Unit,701896,2018
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Sodom Community Health Unit,701895,2018
fully-functional,Kayole II Sub-District Hospital,kayole south,embakasi central,embakasi central,nairobi,Ribakia D Community Health Unit,701894,2018
fully-functional,Mukuru Health Centre,imara daima,embakasi south,embakasi south,nairobi,Master Mind Community Health Unit,701893,2018
fully-functional,Kangemi Health Centre,kangemi,westlands,westlands,nairobi,Bottomline One Community Health Unit,701892,2018
fully-functional,Mukuru Health Centre,imara daima,embakasi south,embakasi south,nairobi,Motomoto A Imara Community Health Unit,701891,2018
fully-functional,Lungalunga Health Centre,viwandani,makadara,makadara,nairobi,Lungalunga Community Health Unit,701890,2018
fully-functional,St Joseph Nursing Home (Eastleigh North),eastleigh north,kamukunji,kamukunji,nairobi,Mwamko Mpya Community Health Unit,701889,2018
fully-functional,Embakasi Health Centre,embakasi,embakasi east,embakasi east,nairobi,Juakali B Community Health Unit,701888,2018
fully-functional,Kaloleni Dispensary,makongeni,makadara,makadara,nairobi,World Bank Community Health Unit,701887,2018
fully-functional,Kayole II Sub-District Hospital,kayole south,embakasi central,embakasi central,nairobi,Ribakia C Community Health Unit,701886,2018
fully-functional,Embakasi Health Centre,embakasi,embakasi east,embakasi east,nairobi,Juakali A Community Health Unit,701885,2018
fully-functional,Kaloleni Dispensary,makongeni,makadara,makadara,nairobi,Agare Community Health Unit,701884,2018
closed,Kahawa West Health Centre,kahawa,roysambu,roysambu,nairobi,Kiangishiri Community Health Unit,701883,2018
fully-functional,Kasarani Health Centre,kasarani,kasarani,kasarani,nairobi,Red Soil Community Health Unit,701882,2018
fully-functional,Kayole II Sub-District Hospital,kayole south,embakasi central,embakasi central,nairobi,Stone City Community Health Unit,701881,2018
fully-functional,Riruta Health Centre,kawangware,dagoretti north,dagoretti north,nairobi,Karama Community Health Unit,701880,2018
fully-functional,Kaloleni Dispensary,makongeni,makadara,makadara,nairobi,Whitehouse Community Health Unit,701879,2018
fully-functional,Kariobangi South Clinic,kariobangi south,embakasi west,embakasi west,nairobi,Kariobangi South B Community Health Unit,701878,2018
fully-functional,Kibera Community Health Centre - Amref,laini saba,kibra,kibra,nairobi,Soweto West C Community Health Unit,701877,2018
fully-functional,Kaloleni Dispensary,makongeni,makadara,makadara,nairobi,Mix Community Health Unit,701876,2018
fully-functional,Soweto Kayole PHC Health Centre,lower savannah,embakasi east,embakasi east,nairobi,Central Community Health Unit,701875,2018
fully-functional,St Joseph Nursing Home (Eastleigh North),eastleigh north,kamukunji,kamukunji,nairobi,Tuwajibike Community Health Unit,701874,2018
fully-functional,Kariobangi South Clinic,kariobangi south,embakasi west,embakasi west,nairobi,City Carton C Community Health Unit,701873,2018
fully-functional,Riruta Health Centre,kawangware,dagoretti north,dagoretti north,nairobi,Legio Maria Community Health Unit,701872,2018
fully-functional,Kibera Community Health Centre - Amref,laini saba,kibra,kibra,nairobi,Soweto West A Community Health Unit,701871,2018
fully-functional,Soweto Kayole PHC Health Centre,lower savannah,embakasi east,embakasi east,nairobi,Muoroto Community Health Unit,701870,2018
fully-functional,Riruta Health Centre,kawangware,dagoretti north,dagoretti north,nairobi,Cogaka Community Health Unit,701869,2015
fully-functional,Soweto Kayole PHC Health Centre,lower savannah,embakasi east,embakasi east,nairobi,Mzesha Community Health Unit,701868,2018
